,UP_DOWN_TOP_KOSPI_TITLE,UP_DOWN_TOP_KOSPI_PER,UP_DOWN_TOP_KOSDAQ_TITLE,UP_DOWN_TOP_KOSDAQ_PER,RISING_STOCK_KOSPI_TITLE,RISING_STOCK_KOSPI_PER,RISING_STOCK_KOSDAQ_TITLE,RISING_STOCK_KOSDAQ_PER,FOREIGNER_BUY_KOSPI_TITLE,FOREIGNER_BUY_KOSPI_PER,FOREIGNER_BUY_KOSDAQ_TITLE,FOREIGNER_BUY_KOSDAQ_PER,ORGAN_BUY_KOSPI_TITLE,ORGAN_BUY_KOSPI_PER,ORGAN_BUY_KOSDAQ_TITLE,ORGAN_BUY_KOSDAQ_PER
0,의약품,+2.11%,유통,+2.01%,제이준코스메틱,+29.94%,알에프세미,+23.48%,LG화학,-0.83%,아난티,-4.70%,KODEX 200선물인버스2X,-0.51%,에코프로비엠,-2.11%
1,전기가스업,+1.24%,의료·정밀기기,+1.56%,세원이앤씨,+8.61%,한화에스비아이스팩,+21.37%,POSCO,-1.23%,삼천당제약,-3.21%,POSCO,-1.23%,랩지노믹스,+3.56%
2,음식료품,+0.69%,운송장비·부품,+1.39%,SK바이오사이언스,+9.38%,중앙디앤엠,+16.48%,현대제철,-0.56%,네이처셀,+0.36%,KODEX 인버스,-0.39%,천보,-1.20%
3,전기전자,+0.63%,제약,+1.10%,해성디에스,+7.07%,제이시스메디칼,+18.05%,삼성전기,-1.30%,CJ ENM,+0.25%,KODEX 코스닥150선물인버스,-1.02%,JYP Ent.,+0.25%
4,유통업,+0.36%,KOSDAQ 100,+0.84%,SK케미칼우,+8.29%,안트로젠,+14.90%,대웅제약,+0.29%,바이오니아,-2.44%,삼성전기,-1.30%,가온미디어,+0.28%
