,UP_DOWN_TOP_KOSPI_TITLE,UP_DOWN_TOP_KOSPI_PER,UP_DOWN_TOP_KOSDAQ_TITLE,UP_DOWN_TOP_KOSDAQ_PER,RISING_STOCK_KOSPI_TITLE,RISING_STOCK_KOSPI_PER,RISING_STOCK_KOSDAQ_TITLE,RISING_STOCK_KOSDAQ_PER,FOREIGNER_BUY_KOSPI_TITLE,FOREIGNER_BUY_KOSPI_PER,FOREIGNER_BUY_KOSDAQ_TITLE,FOREIGNER_BUY_KOSDAQ_PER,ORGAN_BUY_KOSPI_TITLE,ORGAN_BUY_KOSPI_PER,ORGAN_BUY_KOSDAQ_TITLE,ORGAN_BUY_KOSDAQ_PER
0,의약품,+1.82%,유통,+1.77%,제이준코스메틱,+29.94%,알에프세미,+22.16%,LG화학,-1.07%,아난티,-5.98%,KODEX 200선물인버스2X,-0.51%,에코프로비엠,-2.25%
1,전기가스업,+1.23%,의료·정밀기기,+1.17%,SK바이오사이언스,+9.38%,한화에스비아이스팩,+20.66%,POSCO,-1.64%,삼천당제약,-4.10%,POSCO,-1.64%,랩지노믹스,+3.28%
2,음식료품,+0.53%,운송장비·부품,+1.08%,세원이앤씨,+7.18%,제이시스메디칼,+15.80%,현대제철,-1.11%,네이처셀,-0.73%,KODEX 인버스,-0.13%,천보,-1.95%
3,전기전자,+0.47%,제약,+0.89%,해성디에스,+8.10%,중앙디앤엠,+14.98%,삼성전기,-1.30%,CJ ENM,+0.55%,KODEX 코스닥150선물인버스,-0.79%,JYP Ent.,+0.25%
4,섬유의복,+0.18%,KOSDAQ 100,+0.62%,SK케미칼우,+5.85%,3S,+13.72%,대웅제약,+0.29%,바이오니아,-2.71%,삼성전기,-1.30%,가온미디어,-0.85%
